Símbolo;Empresa;id_Industria;Industria;Sub_industria;Localización;Incorp. SP500;Fundación;Cant. Empleos;Facturac. U$S 2022;Costo Op. U$S;Gcia Bruta U$S 2022;Deuda U$S 2022;Valor de Mercado
IDXX;Idexx Laboratories;XLV;Health Care;Health Care Equipment;Maine;5/1/2017;1983;11.000;3.514.053.888;1.509.715.888;2.004.338.000;1.155.538.944;35.738.497.024
IEX;IDEX Corporation;XLI;Industrials;Industrial Machinery & Supplies & Components;Illinois;9/8/2019;1988;8.868;3.326.299.904;1.890.899.904;1.435.400.000;1.595.200.000;15.508.931.584
IFF;International Flavors & Fragrances;XLB;Materials;Specialty Chemicals;New York;31/3/1976;1889;24.600;11.863.000.064;7.712.000.064;4.151.000.000;11.338.999.808;16.474.028.032
ILMN;Illumina;XLV;Health Care;Life Sciences Tools & Services;California;19/11/2015;1998;11.500;4.461.000.192;1.316.000.192;3.145.000.000;3.048.000.000;22.071.767.040
INCY;Incyte;XLV;Health Care;Biotechnology;Delaware;28/2/2017;1991;2.324;3.513.285.888;1.919.556.888;1.593.729.000;39.741.000;13.178.615.808
INTC;Intel;XLK;Information Technology;Semiconductors;California;31/12/1976;1968;131.900;54.044.000.256;27.178.000.256;26.866.000.000;49.045.999.616;150.307.323.904
INTU;Intuit;XLK;Information Technology;Application Software;California;5/12/2000;1983;18.200;14.368.000.000;2.980.000.000;11.388.000.000;8.681.863.250;144.697.720.832
INVH;Invitation Homes;XLRE;Real Estate;Single-Family Residential REITs;Texas;19/9/2022;2012;1.511;2.328.003.072;973.775.072;1.354.228.000;7.781.683.200;19.454.910.464
IP;International Paper;XLB;Materials;Paper & Plastic Packaging Products & Materials;Tennessee;4/3/1957;1898;39.000;20.237.000.704;14.219.000.704;6.018.000.000;6.275.999.744;12.092.665.856
IPG;Interpublic Group of Companies (The);XLC;Communication Services;Advertising;New York;1/10/1992;1930;57.800;9.352.099.840;7.226.199.840;2.125.900.000;4.756.299.776;10.912.907.264
IQV;IQVIA;XLV;Health Care;Life Sciences Tools & Services;North Carolina;29/8/2017;1982;87.000;14.680.999.936;9.652.999.936;5.028.000.000;14.019.000.320;36.225.196.032
IR;Ingersoll Rand;XLI;Industrials;Industrial Machinery & Supplies & Components;North Carolina;3/3/2020;1859;17.000;6.455.199.744;4.129.599.744;2.325.600.000;2.818.400.000;25.404.346.368
IRM;Iron Mountain;XLRE;Real Estate;Other Specialized REITs;Massachusetts;6/1/2009;1951;26.000;5.238.279.168;2.323.825.168;2.914.454.000;14.064.402.432;16.723.119.104
ISRG;Intuitive Surgical;XLV;Health Care;Health Care Equipment;California;2/6/2008;1995;12.120;6.664.500.224;2.468.500.224;4.196.000.000;20.384.913.818;101.924.569.088
IT;Gartner;XLK;Information Technology;IT Consulting & Other Services;Connecticut;5/4/2017;1979;20.104;5.748.639.232;1.966.564.232;3.782.075.000;3.120.248.064;27.757.506.560
ITW;Illinois Tool Works;XLI;Industrials;Industrial Machinery & Supplies & Components;Illinois;28/2/1986;1912;46.000;16.074.999.808;9.571.999.808;6.503.000.000;8.222.000.128;70.405.464.064
IVZ;Invesco;XLF;Financials;Asset Management & Custody Banks;Atlanta;21/8/2008;1935;8.621;5.750.099.968;3.852.299.968;1.897.800.000;1.488.600.064;6.123.676.160
J;Jacobs Solutions;XLI;Industrials;Construction & Engineering;Texas;26/10/2007;1947;60.000;15.944.750.080;12.616.426.080;3.328.324.000;3.924.538.112;16.922.120.192
JBHT;J.B. Hunt;XLI;Industrials;Cargo Ground Transportation;Arkansas;1/7/2015;1961;37.151;13.850.090.496;11.272.303.496;2.577.787.000;1.805.352.960;19.232.505.856
JCI;Johnson Controls;XLI;Industrials;Building Products;Ireland;27/8/2010;1885;100.000;26.612.000.768;18.269.000.768;8.343.000.000;11.196.000.256;34.920.824.832
JKHY;Jack Henry & Associates;XLF;Financials;Transaction & Payment Processing Services;Missouri;13/11/2018;1976;7.120;2.077.702.016;1.219.062.016;858.640.000;325.268.992;10.836.698.112
JNJ;Johnson & Johnson;XLV;Health Care;Pharmaceuticals;New Jersey;30/6/1973;1886;152.700;97.773.002.752;33.819.002.752;63.954.000.000;45.602.000.896;378.394.673.152
JNPR;Juniper Networks;XLK;Information Technology;Communications Equipment;California;2/6/2006;1996;10.901;5.665.299.968;2.706.999.968;2.958.300.000;1.785.100.032;8.506.399.232
JPM;JPMorgan Chase;XLF;Financials;Diversified Banks;New York;30/6/1975;1871;300.066;135.220.002.816;12.914.002.816;122.306.000.000;746.319.970.304;415.280.234.496
K;Kellogg's;XLP;Consumer Staples;Packaged Foods & Meats;Michigan;11/9/1989;1906;30.000;15.873.000.448;11.248.000.448;4.625.000.000;7.442.999.808;17.336.453.120
KDP;Keurig Dr Pepper;XLP;Consumer Staples;Soft Drinks & Non-alcoholic Beverages;Massachusetts;21/6/2022;1981;28.000;14.567.000.064;7.235.000.064;7.332.000.000;14.373.000.192;42.211.225.600
KEY;KeyCorp;XLF;Financials;Regional Banks;Ohio;1/3/1994;1825;17.987;6.384.000.000;-359.000.000;6.743.000.000;32.270.000.128;9.639.965.696
KEYS;Keysight;XLK;Information Technology;Electronic Equipment & Instruments;California;6/11/2018;1939;14.800;5.596.000.256;2.146.000.256;3.450.000.000;2.022.000.000;22.956.896.256
KHC;Kraft Heinz;XLP;Consumer Staples;Packaged Foods & Meats;Pennsylvania;6/7/2015;1869;37.000;27.096.000.512;18.861.000.512;8.235.000.000;20.049.000.448;39.698.333.696
KIM;Kimco Realty;XLRE;Real Estate;Retail REITs;New York;4/4/2006;1958;639;1.758.968.960;562.191.960;1.196.777.000;7.245.817.856;10.482.085.888
KLAC;KLA Corporation;XLK;Information Technology;Semiconductor Materials & Equipment;California;30/9/1997;1997;15.000;10.496.056.320;6.724.735.672;3.771.320.648;6.063.132.160;62.855.344.128
KMB;Kimberly-Clark;XLP;Consumer Staples;Household Products;Texas;4/3/1957;1872;44.000;20.345.999.360;14.126.999.360;6.219.000.000;8.344.999.936;40.071.540.736
KMI;Kinder Morgan;XLE;Energy;Oil & Gas Storage & Transportation;Texas;25/5/2012;1997;10.525;17.144.999.936;9.854.999.936;7.290.000.000;31.778.000.896;36.007.227.392
KMX;CarMax;XLY;Consumer Discretionary;Automotive Retail;Virginia;28/6/2010;1993;30.000;28.544.348.160;25.744.145.160;2.800.203.000;19.696.463.872;10.487.954.432
KO;Coca-Cola Company (The);XLP;Consumer Staples;Soft Drinks & Non-alcoholic Beverages;Atlanta;4/3/1957;1886;82.500;44.139.999.232;19.135.999.232;25.004.000.000;43.194.998.784;226.508.947.456
KR;Kroger;XLP;Consumer Staples;Food Retail;Ohio;4/3/1957;1883;430.000;148.037.992.448;115.229.992.448;32.808.000.000;21.152.999.424;31.757.801.472
KVUE;Kenvue;XLP;Consumer Staples;Personal Care Products;New Jersey;25/8/2023;2022;22.000;15.418.999.808;7.078.999.808;8.340.000.000;8.602.999.808;37.838.225.408
L;Loews Corporation;XLF;Financials;Multi-line Insurance;New York;31/5/1995;1959;12.050;14.970.999.808;10.273.999.808;4.697.000.000;9.054.999.552;14.166.474.752
LDOS;Leidos;XLI;Industrials;Diversified Support Services;Virginia;9/8/2019;1969;45.000;14.842.000.384;12.758.000.384;2.084.000.000;5.441.999.872;12.423.398.400
LEN;Lennar;XLY;Consumer Discretionary;Homebuilding;Florida;4/10/2005;1954;12.012;33.439.549.440;26.237.405.440;7.202.144.000;4.623.764.992;30.603.888.640
LH;LabCorp;XLV;Health Care;Health Care Services;North Carolina;1/11/2004;1978;60.000;14.880.799.744;10.495.699.744;4.385.100.000;6.288.699.904;17.789.992.960
LHX;L3Harris;XLI;Industrials;Aerospace & Defense;Florida;22/9/2008;1895;46.000;17.987.999.744;13.060.999.744;4.927.000.000;9.523.999.744;30.503.368.704
LIN;Linde plc;XLB;Materials;Industrial Gases;United Kingdom;1/7/1992;1879;66.270;33.092.999.168;19.178.999.168;13.914.000.000;17.489.999.872;180.471.693.312
LKQ;LKQ Corporation;XLY;Consumer Discretionary;Distributors;Illinois;23/5/2016;1998;45.000;12.901.999.616;7.678.999.616;5.223.000.000;5.329.999.872;13.158.404.096
LLY;Eli Lilly and Company;XLV;Health Care;Pharmaceuticals;Indiana;31/12/1970;1876;39.000;29.515.499.520;7.603.899.520;21.911.600.000;18.953.500.672;514.024.210.432
LMT;Lockheed Martin;XLI;Industrials;Aerospace & Defense;Maryland;4/3/1957;1995;116.000;67.392.999.424;59.005.999.424;8.387.000.000;17.545.000.960;100.065.050.624
LNT;Alliant Energy;XLU;Utilities;Electric Utilities;Wisconsin;1/7/2016;1917;3.129;4.183.000.064;2.474.000.064;1.709.000.000;9.036.000.256;12.031.951.872
LOW;Lowe's;XLY;Consumer Discretionary;Home Improvement Retail;North Carolina;29/2/1984;1959;300.000;93.227.999.232;60.970.999.232;32.257.000.000;40.668.000.256;115.307.577.344
LRCX;Lam Research;XLK;Information Technology;Semiconductor Materials & Equipment;California;29/6/2012;1980;17.200;17.428.516.864;12.463.606.989;4.964.909.875;5.249.108.992;82.748.497.920
LUV;Southwest Airlines;XLI;Industrials;Passenger Airlines;Texas;1/7/1994;1967;71.299;25.134.999.552;19.158.999.552;5.976.000.000;9.328.000.000;16.272.719.872
LVS;Las Vegas Sands;XLY;Consumer Discretionary;Casinos & Gaming;Nevada;3/10/2019;1988;35.500;6.784.000.000;4.199.000.000;2.585.000.000;14.919.999.488;33.712.109.568
LW;Lamb Weston;XLP;Consumer Staples;Packaged Foods & Meats;Idaho;3/12/2018;1950;10.200;5.890.299.904;3.039.949.005;2.850.350.899;3.473.299.968;14.251.754.496
LYB;LyondellBasell;XLB;Materials;Specialty Chemicals;Netherlands;5/9/2012;2007;19.300;43.008.999.424;36.404.999.424;6.604.000.000;13.304.000.512;29.492.662.272
LYV;Live Nation Entertainment;XLC;Communication Services;Movies & Entertainment;California;23/12/2019;2010;12.800;19.202.385.920;14.858.655.920;4.343.730.000;8.413.015.040;19.615.770.624
MA;Mastercard;XLF;Financials;Transaction & Payment Processing Services;New York;18/7/2008;1966;29.900;23.590.000.640;1.353.000.640;22.237.000.000;15.619.999.744;371.419.971.584
MAA;Mid-America Apartment Communities;XLRE;Real Estate;Multi-Family Residential REITs;Tennessee;2/12/2016;1977;2.387;2.112.926.976;882.217.976;1.230.709.000;4.424.393.216;15.381.636.096
MAR;Marriott International;XLY;Consumer Discretionary;Hotels, Resorts & Cruise Lines;Maryland;29/5/1998;1927;377.000;5.970.999.808;1.688.999.808;4.282.000.000;12.295.999.488;58.088.206.336
MAS;Masco;XLI;Industrials;Building Products;Michigan;30/6/1981;1929;19.000;8.232.999.936;5.487.999.936;2.745.000.000;3.276.999.936;11.745.636.352
MCD;McDonald's;XLY;Consumer Discretionary;Restaurants;Illinois;30/6/1970;1940;100.000;24.193.900.544;10.986.700.544;13.207.200.000;48.560.300.032;183.815.897.088
MCHP;Microchip Technology;XLK;Information Technology;Semiconductors;Arizona;7/9/2007;1989;22.600;8.763.700.224;6.237.446.185;2.526.254.039;6.062.600.192;42.104.233.984
MCK;McKesson;XLV;Health Care;Health Care Distributors;Texas;13/1/1999;1833;45.000;284.040.003.584;271.682.003.584;12.358.000.000;7.475.999.744;60.139.311.104
MCO;Moody's Corporation;XLF;Financials;Financial Exchanges & Data;New York;1/7/1998;1909;14.635;5.528.999.936;1.673.999.936;3.855.000.000;7.911.000.064;57.603.977.216
MDLZ;Mondelez International;XLP;Consumer Staples;Packaged Foods & Meats;Illinois;2/10/2012;2012;91.000;34.130.999.296;22.774.999.296;11.356.000.000;21.717.999.616;88.522.530.816
MDT;Medtronic;XLV;Health Care;Health Care Equipment;Ireland;31/10/1986;1949;95.000;31.558.000.640;14.333.623.009;17.224.377.631;24.981.999.616;101.319.868.416
MET;MetLife;XLF;Financials;Life & Health Insurance;New York;11/12/2000;1868;45.000;71.029.997.568;56.136.997.568;14.893.000.000;106.976.002.048;45.339.406.336
META;Meta Platforms;XLC;Communication Services;Interactive Media & Services;California;23/12/2013;2004;71.469;120.524.996.608;27.669.996.608;92.855.000.000;36.977.999.872;784.273.440.768
MGM;MGM Resorts;XLY;Consumer Discretionary;Casinos & Gaming;Nevada;26/7/2017;1986;57.000;14.777.702.400;8.303.200.400;6.474.502.000;32.037.664.768;12.207.428.608
MHK;Mohawk Industries;XLY;Consumer Discretionary;Home Furnishings;Atlanta;23/12/2013;1878;40.900;11.324.864.512;8.310.621.512;3.014.243.000;3.468.072.960;5.194.556.928
MKC;McCormick & Company;XLP;Consumer Staples;Packaged Foods & Meats;Maryland;20/3/2003;1889;14.200;6.605.100.032;4.330.600.032;2.274.500.000;4.833.399.808;17.547.536.384
MKTX;MarketAxess;XLF;Financials;Financial Exchanges & Data;New York;1/7/2019;2000;744;733.028.992;67.692.992;665.336.000;79.922.000;8.500.398.080
MLM;Martin Marietta Materials;XLB;Materials;Construction Materials;North Carolina;2/7/2014;1993;9.400;6.032.900.096;4.607.000.096;1.425.900.000;5.433.299.968;25.973.215.232
MMC;Marsh McLennan;XLF;Financials;Insurance Brokers;New York;31/8/1987;1905;85.000;21.592.000.512;12.708.000.512;8.884.000.000;14.629.999.616;94.799.650.816
MMM;3M;XLI;Industrials;Industrial Conglomerates;Minnesota;4/3/1957;1902;92.000;33.053.999.104;18.053.999.104;15.000.000.000;16.899.999.744;48.481.460.224
MNST;Monster Beverage;XLP;Consumer Staples;Soft Drinks & Non-alcoholic Beverages;California;28/6/2012;1935;4.607;6.691.107.840;3.516.540.840;3.174.567.000;40.898.000;52.470.276.096
MO;Altria;XLP;Consumer Staples;Tobacco;Virginia;4/3/1957;1985;6.300;20.579.000.320;6.396.000.320;14.183.000.000;27.195.000.832;74.515.881.984
MOH;Molina Healthcare;XLV;Health Care;Managed Health Care;California;2/3/2022;1980;15.000;31.835.000.832;27.909.000.832;3.926.000.000;2.380.999.936;19.185.946.624
MOS;Mosaic Company (The);XLB;Materials;Fertilizers & Agricultural Chemicals;Florida;26/9/2011;1909;13.570;16.828.099.584;11.050.999.584;5.777.100.000;3.835.899.904;11.297.519.616
MPC;Marathon Petroleum;XLE;Energy;Oil & Gas Refining & Marketing;Ohio;1/7/2011;1887;17.800;157.515.005.952;130.950.005.952;26.565.000.000;28.565.000.192;56.889.802.752
MPWR;Monolithic Power Systems;XLK;Information Technology;Semiconductors;Washington;12/2/2021;1997;3.247;1.847.623.040;799.071.040;1.048.552.000;6.581.000;21.584.189.440
MRK;Merck & Co.;XLV;Health Care;Pharmaceuticals;New Jersey;4/3/1957;1891;67.000;58.311.000.064;16.234.000.064;42.077.000.000;36.911.001.600;262.887.079.936
MRNA;Moderna;XLV;Health Care;Biotechnology;Massachusetts;21/7/2021;2010;3.900;10.654.000.128;102.000.128;10.552.000.000;1.168.000.000;39.189.659.648
MRO;Marathon Oil;XLE;Energy;Oil & Gas Exploration & Production;Texas;4/3/1957;1887;1.570;6.695.000.064;543.000.064;6.152.000.000;5.997.000.192;14.681.851.904
MS;Morgan Stanley;XLF;Financials;Investment Banking & Brokerage;New York;29/7/1993;1935;82.000;53.191.999.488;6.754.999.488;46.437.000.000;356.761.993.216;131.149.176.832
MSCI;MSCI;XLF;Financials;Financial Exchanges & Data;New York;4/4/2018;1969;4.980;2.350.222.080;505.965.080;1.844.257.000;4.659.798.016;39.396.405.248
MSFT;Microsoft;XLK;Information Technology;Systems Software;Washington;1/6/1994;1975;221.000;211.914.997.760;69.548.911.493;142.366.086.267;79.441.002.496;2.372.768.104.448
MSI;Motorola Solutions;XLK;Information Technology;Communications Equipment;Illinois;4/3/1957;2011;20.000;9.653.999.616;5.259.999.616;4.394.000.000;6.520.000.000;45.634.875.392
MTB;M&T Bank;XLF;Financials;Regional Banks;New York;23/2/2004;1856;22.946;9.283.378.176;1.621.819.176;7.661.559.000;16.620.053.504;20.471.468.032
MTCH;Match Group;XLC;Communication Services;Interactive Media & Services;Texas;20/9/2021;1986;2.700;3.212.375.040;981.195.040;2.231.180.000;3.941.999.104;10.244.725.760
MTD;Mettler Toledo;XLV;Health Care;Life Sciences Tools & Services;Ohio;6/9/2016;1945;16.400;3.954.385.920;1.646.343.920;2.308.042.000;2.152.826.880;23.575.719.936
MU;Micron Technology;XLK;Information Technology;Semiconductors;Idaho;27/9/1994;1978;43.000;15.539.999.744;16.955.999.744;-1.416.000.000;13.998.999.552;75.630.469.120
NCLH;Norwegian Cruise Line Holdings;XLY;Consumer Discretionary;Hotels, Resorts & Cruise Lines;Florida;13/10/2017;1966;38.900;7.162.070.016;6.585.396.016;576.674.000;13.757.513.728;6.993.970.688
NDAQ;Nasdaq, Inc.;XLF;Financials;Financial Exchanges & Data;New York;22/10/2008;1971;6.565;6.104.999.936;2.522.999.936;3.582.000.000;10.417.000.448;24.084.310.016
NDSN;Nordson Corporation;XLI;Industrials;Industrial Machinery & Supplies & Components;Ohio;15/2/2022;1935;7.200;2.592.900.096;1.166.364.096;1.426.536.000;961.212.992;12.649.237.504
NEE;NextEra Energy;XLU;Utilities;Multi-Utilities;Florida;30/6/1976;1925;15.300;26.947.999.744;16.808.999.744;10.139.000.000;72.173.002.752;100.072.456.192
NEM;Newmont;XLB;Materials;Gold;Colorado;30/6/1969;1921;14.600;11.196.000.256;6.670.000.256;4.526.000.000;6.111.000.064;28.861.898.752
NFLX;Netflix;XLC;Communication Services;Movies & Entertainment;California;20/12/2010;1997;12.800;32.126.445.568;19.679.180.568;12.447.265.000;16.993.690.624;165.112.135.680
NI;NiSource;XLU;Utilities;Multi-Utilities;Indiana;2/11/2000;1912;7.117;5.850.100.224;3.589.000.224;2.261.100.000;12.622.100.480;9.847.866.368
NKE;Nike, Inc.;XLY;Consumer Discretionary;Apparel, Accessories & Luxury Goods;Oregon;30/11/1988;1964;83.700;51.469.000.704;26.554.509.558;24.914.491.146;12.177.000.448;146.555.830.272
NOC;Northrop Grumman;XLI;Industrials;Aerospace & Defense;Virginia;4/3/1957;1930;95.000;37.880.999.936;30.406.999.936;7.474.000.000;17.443.999.744;63.556.591.616
NOW;ServiceNow;XLK;Information Technology;Systems Software;California;21/11/2019;2003;20.433;8.016.999.936;2.344.999.936;5.672.000.000;2.212.000.000;111.622.676.480
NRG;NRG Energy;XLU;Utilities;Independent Power Producers & Energy Traders;Texas;29/1/2010;1992;6.603;30.435.000.320;26.338.000.320;4.097.000.000;12.316.000.256;8.864.536.576
NSC;Norfolk Southern Railway;XLI;Industrials;Rail Transportation;Atlanta;4/3/1957;1980;19.300;12.691.999.744;6.535.999.744;6.156.000.000;15.662.999.552;43.289.493.504
NTAP;NetApp;XLK;Information Technology;Technology Hardware, Storage & Peripherals;California;25/6/1999;1992;12.000;6.201.999.872;1.992.999.872;4.209.000.000;2.672.000.000;15.767.896.064
NTRS;Northern Trust;XLF;Financials;Asset Management & Custody Banks;Illinois;30/1/1998;1889;23.600;6.770.500.096;21.300.096;6.749.200.000;28.651.700.224;13.800.955.904
NUE;Nucor;XLB;Materials;Steel;North Carolina;30/4/1985;1940;31.400;37.457.948.672;24.931.002.672;12.526.946.000;6.831.512.064;38.907.580.416
NVDA;Nvidia;XLK;Information Technology;Semiconductors;California;30/11/2001;1993;26.196;32.681.000.960;17.325.000.960;15.356.000.000;10.954.000.384;1.103.793.618.944
NVR;NVR, Inc.;XLY;Consumer Discretionary;Homebuilding;Virginia;26/9/2019;1980;6.550;10.118.545.408;7.294.858.408;2.823.687.000;1.031.651.008;19.428.247.552
NWS;News Corp (Class B);XLC;Communication Services;Publishing;New York;18/9/2015;1980;25.000;9.879.000.064;5.076.000.064;4.803.000.000;4.209.999.872;11.386.868.736
NWSA;News Corp (Class A);XLC;Communication Services;Publishing;New York;1/8/2013;1980;25.000;9.879.000.064;5.076.000.064;4.803.000.000;4.209.999.872;11.384.315.904
NXPI;NXP Semiconductors;XLK;Information Technology;Semiconductors;Netherlands;22/3/2021;1953;34.500;13.176.999.936;5.662.999.936;7.514.000.000;11.169.999.872;50.387.398.656
O;Realty Income;XLRE;Real Estate;Retail REITs;California;7/4/2015;1969;391;3.689.158.912;578.255.912;3.110.903.000;20.202.223.616;35.481.927.680
ODFL;Old Dominion;XLI;Industrials;Cargo Ground Transportation;North Carolina;9/12/2019;1934;22.717;5.950.673.920;3.459.081.920;2.491.592.000;79.970.000;44.065.599.488
OGN;Organon & Co.;XLV;Health Care;Pharmaceuticals;New Jersey;3/6/2021;2021;10.000;6.168.000.000;2.279.000.000;3.889.000.000;8.730.000.384;4.145.312.768
OKE;ONEOK;XLE;Energy;Oil & Gas Storage & Transportation;Oklahoma;15/3/2010;1906;2.966;19.198.892.032;14.721.866.032;4.477.026.000;12.821.000.192;36.369.612.800
OMC;Omnicom Group;XLC;Communication Services;Advertising;New York;31/12/1997;1986;74.200;14.364.800.000;11.606.000.000;2.758.800.000;6.484.299.776;14.404.902.912
ON;ON Semiconductor;XLK;Information Technology;Semiconductors;Arizona;21/6/2022;1999;31.000;8.350.300.160;4.273.100.160;4.077.200.000;3.745.900.032;38.047.911.936
ORCL;Oracle Corporation;XLK;Information Technology;Application Software;Texas;31/8/1989;1977;164.000;50.962.001.920;14.572.001.920;36.390.000.000;88.941.002.752;296.811.823.104
ORLY;O'Reilly Auto Parts;XLY;Consumer Discretionary;Automotive Retail;Missouri;27/3/2009;1957;88.149;15.219.966.976;7.838.260.976;7.381.706.000;7.124.711.936;54.280.675.328
OTIS;Otis Worldwide;XLI;Industrials;Industrial Machinery & Supplies & Components;Connecticut;3/4/2020;1853;69.000;13.848.999.936;9.906.999.936;3.942.000.000;7.170.999.808;32.585.498.624
OXY;Occidental Petroleum;XLE;Energy;Oil & Gas Exploration & Production;Texas;4/3/1957;1920;11.973;31.536.001.024;6.965.001.024;24.571.000.000;20.686.999.552;52.567.801.856
PANW;Palo Alto Networks;XLK;Information Technology;Application Software;California;20/6/2023;2005;13.948;6.892.700.160;2.508.552.622;4.384.147.538;2.330.899.968;73.069.125.632
PARA;Paramount Global;XLC;Communication Services;Movies & Entertainment;New York;30/9/1994;1952;24.500;29.927.999.488;19.618.999.488;10.309.000.000;17.141.000.192;7.705.724.416
PAYC;Paycom;XLI;Industrials;Human Resource & Employment Services;Oklahoma;28/1/2020;1998;6.349;1.557.550.976;352.138.976;1.205.412.000;29.000.000;15.217.433.600
PAYX;Paychex;XLI;Industrials;Human Resource & Employment Services;New York;1/10/1998;1971;16.600;5.086.900.224;-722.360.648;5.809.260.872;867.100.032;41.494.720.512
PCAR;Paccar;XLI;Industrials;Construction Machinery & Heavy Transportation Equipment;Washington;31/12/1980;1905;31.100;32.542.799.872;27.930.599.872;4.612.200.000;12.721.699.840;45.081.477.120
PCG;PG&E Corporation;XLU;Utilities;Multi-Utilities;California;3/10/2022;1905;26.010;22.262.999.040;15.247.999.040;7.015.000.000;55.713.001.472;38.369.021.952
PEAK;Healthpeak;XLRE;Real Estate;Health Care REITs;California;31/3/2008;1985;199;2.115.981.952;921.281.952;1.194.700.000;6.773.140.992;9.513.269.248
PEG;Public Service Enterprise Group;XLU;Utilities;Electric Utilities;New Jersey;4/3/1957;1903;12.525;11.587.000.320;8.983.000.320;2.604.000.000;19.832.000.512;28.229.720.064
PEP;PepsiCo;XLP;Consumer Staples;Soft Drinks & Non-alcoholic Beverages;New York;4/3/1957;1898;315.000;91.617.001.472;45.567.001.472;46.050.000.000;44.773.998.592;220.390.457.344
PFE;Pfizer;XLV;Health Care;Pharmaceuticals;New York;4/3/1957;1849;83.000;77.942.996.992;11.709.996.992;66.233.000.000;65.673.998.336;188.970.287.104
PFG;Principal Financial Group;XLF;Financials;Life & Health Insurance;Iowa;22/7/2002;1879;19.300;14.107.899.904;3.081.899.904;11.026.000.000;4.447.000.064;16.692.837.376
PG;Procter & Gamble;XLP;Consumer Staples;Personal Care Products;Ohio;4/3/1957;1837;107.000;82.005.999.616;42.759.999.616;39.246.000.000;35.424.002.048;338.920.800.256
PGR;Progressive Corporation;XLF;Financials;Property & Casualty Insurance;Ohio;4/8/1997;1937;55.100;55.882.399.744;54.195.299.744;1.687.100.000;6.886.499.840;83.376.750.592
PH;Parker Hannifin;XLI;Industrials;Industrial Machinery & Supplies & Components;Ohio;30/11/1985;1917;62.730;19.065.194.496;12.496.892.496;6.568.302.000;12.902.513.664;49.306.714.112
PHM;PulteGroup;XLY;Consumer Discretionary;Homebuilding;Atlanta;30/4/1984;1956;6.524;16.964.117.504;12.125.312.504;4.838.805.000;2.445.008.896;15.771.511.808
PKG;Packaging Corporation of America;XLB;Materials;Paper & Plastic Packaging Products & Materials;Illinois;26/7/2017;1959;15.100;8.032.699.904;5.935.099.904;2.097.600.000;2.783.300.096;13.716.549.632
PLD;Prologis;XLRE;Real Estate;Industrial REITs;California;17/7/2003;1983;2.466;8.022.778.880;3.247.308.880;4.775.470.000;28.766.773.248;100.728.676.352
PM;Philip Morris International;XLP;Consumer Staples;Tobacco;New York;31/3/2008;1847;79.800;33.169.999.872;12.635.999.872;20.534.000.000;47.973.998.592;142.785.150.976
PNC;PNC Financial Services;XLF;Financials;Regional Banks;Pennsylvania;30/4/1988;1845;58.231;21.177.999.360;534.999.360;20.643.000.000;69.948.997.632;47.941.935.104
PNR;Pentair;XLI;Industrials;Industrial Machinery & Supplies & Components;United Kingdom;1/10/2012;1966;11.250;4.169.100.032;2.774.400.032;1.394.700.000;2.214.700.032;10.370.747.392
PNW;Pinnacle West;XLU;Utilities;Multi-Utilities;Arizona;4/10/1999;1985;5.861;4.545.843.200;2.837.873.200;1.707.970.000;10.100.767.744;8.174.327.808
PODD;Insulet;XLV;Health Care;Health Care Equipment;Massachusetts;15/3/2023;2000;2.600;1.465.100.032;659.500.032;805.600.000;1.397.799.936;10.199.467.008
POOL;Pool Corporation;XLY;Consumer Discretionary;Distributors;Louisiana;7/10/2020;1993;6.000;5.775.396.864;3.841.984.864;1.933.412.000;1.468.902.016;13.034.776.576
PPG;PPG Industries;XLB;Materials;Specialty Chemicals;Pennsylvania;4/3/1957;1883;52.000;17.905.000.448;11.306.000.448;6.599.000.000;7.751.000.064;30.929.922.048
PPL;PPL Corporation;XLU;Utilities;Electric Utilities;Pennsylvania;1/10/2001;1920;6.527;8.661.999.616;5.774.999.616;2.887.000.000;14.880.000.000;16.923.563.008
PRU;Prudential Financial;XLF;Financials;Life & Health Insurance;New Jersey;22/7/2002;1875;39.583;67.972.001.792;58.024.001.792;9.948.000.000;31.345.000.448;33.337.919.488
PSA;Public Storage;XLRE;Real Estate;Self-Storage REITs;California;19/8/2005;1972;5.900;4.421.266.944;1.234.129.944;3.187.137.000;6.894.167.040;47.954.427.904
PSX;Phillips 66;XLE;Energy;Oil & Gas Refining & Marketing;Texas;1/5/2012;1917;13.000;154.719.993.856;134.661.993.856;20.058.000.000;19.865.999.360;48.750.133.248
PTC;PTC;XLK;Information Technology;Application Software;Massachusetts;20/4/2021;1985;7.165;2.058.358.016;510.991.016;1.547.367.000;1.933.059.968;16.615.230.464
PWR;Quanta Services;XLI;Industrials;Construction & Engineering;Texas;1/7/2009;1997;47.300;18.353.811.456;15.824.656.456;2.529.155.000;4.516.124.160;24.426.827.776
PXD;Pioneer Natural Resources;XLE;Energy;Oil & Gas Exploration & Production;Texas;24/9/2008;1997;2.076;20.387.000.320;7.125.000.320;13.262.000.000;5.709.000.192;50.115.989.504
PYPL;PayPal;XLF;Financials;Transaction & Payment Processing Services;California;20/7/2015;1998;29.900;28.555.999.232;16.902.999.232;11.653.000.000;11.210.000.384;63.115.341.824
QCOM;Qualcomm;XLK;Information Technology;Semiconductors;California;22/7/1999;1985;51.000;38.584.000.512;13.019.000.512;25.565.000.000;15.443.999.744;122.536.804.352
